Header,Price,Artist,Dimensions,Specifications,Imgs
Pompéi + Chania,5880,Jean Mirre,70 x 100 cm,2024 • Francia • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/2759/main/zoom/2032665_8470bccf9d912dc3726ed9e0da319611.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_7c3b50f2d4bdb629ae56ea52c9d9d308.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_5800d780e62a7b87d6c5c9dd5d9044f6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_2b52cc421477220f02df99fcbf268b3e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_169a0a75e6931afa6f0c632b06bb2bb5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_db9aab97e02746a41a9f0186a7acfec2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_be28c52a17c3bc78d6b360680c62ad4d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_a104c2c6dd156ca96842ad191991fe90.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/alts/zoom/alt_2032665_19367fd0c28ae0dee2620e9d93ae4e74.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/2759/main/zoom/2032665_8470bccf9d912dc3726ed9e0da319611.jpeg']"
En pensant à mon voisin Serge Gainsbourg,7620,Jean-Pierre Borderie,81 x 100 cm,2017 • Francia • Acrílico en Lino,"['https://www.singulart.com/images/artworks/v2/cropped/18939/main/zoom/972217_ce7de4737ff55f80f918f680c9374486.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18939/main/zoom/972217_ce7de4737ff55f80f918f680c9374486.jpeg']"
Paysage derrière un champ de nouilles.,5642,Aldehy,73 x 100 cm,1989 • Francia • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/13005/main/zoom/670315_af01db1f4fef12dae704ee738e4cba65.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13005/alts/zoom/alt_670315_4d3e01f907bc8159c6b23a6014fb3786.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/13005/main/zoom/670315_af01db1f4fef12dae704ee738e4cba65.jpeg']"
"Sutak, mujer pájaro",18319,Esther Tenedor,65(L)x42(A)x57(P)cm,2023 • España,"['https://www.singulart.com/images/artworks/v2/cutout/19771/main/zoom/2082073_5cd22219c05394b95653c7b36112f9c3.png', 'https://www.singulart.com/images/artworks/v2/cropped/19771/alts/zoom/alt_2082073_480d7c654c977bbeada59f8926beaf2f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/19771/alts/zoom/alt_2082073_0a56903d2597c33fd1a864204bdf17cb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/19771/alts/zoom/alt_2082073_9356bab16bb3519150b7f3bc549b36e3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/19771/alts/zoom/alt_2082073_a43afb2c71cccf1a21c4988983f6e157.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/19771/alts/zoom/alt_2082073_9f548202191369a0548ba51c0d28448a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/19771/alts/zoom/alt_2082073_b4844f490ca65f542096086d5cc4a082.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/19771/main/zoom/2082073_5cd22219c05394b95653c7b36112f9c3.png']"
"La lumière d'automne (Bern, Switzerland).",7720,James MacKeown,50 x 150 cm,N.D • Francia • Óleo en Lino,"['https://www.singulart.com/images/artworks/v2/cropped/23097/main/zoom/1082395_03754e94f6d7d9bb45e09b7edc7f9f10.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/23097/main/zoom/1082395_03754e94f6d7d9bb45e09b7edc7f9f10.jpeg']"
Notre-D'Ame,5488,Catherine Sénéchal,73 x 100 cm,2019 • Francia • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/1705/main/zoom/2218431_72e2e28af23b5ec2e7affd46987ac6af.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_d558d4dc6fcdb3204c6b7f93ceb111b3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_c2a120fca38b5487c1fca9041feb99a3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_d721e62a9b94a3b76eb9332f222e74bd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_b135ecf56881be9ce203b113a95c51fc.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_e367e331278ee8d54b381c6061e0bedb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_81c9e195c48558ae7849478fffd8f844.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_7a3ba2dfb553a14ea2a08f28722c66bd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_f03c57966758c8d287d939726a113cef.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_020a5a03f3d109fe68ba4a4b5c472180.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_1e46f3207fcb4c4ecc097ee130b0b2cc.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_c7472d622e875cd86bcebaf2698fb3d9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_d255e73769120cf6791ca69d3209f54c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_65cac7a21409e0050f6725daca23d6bf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_cbdf51e91fd7a9531930bbe9c6581115.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_c0e49d5cac942de8ed4e4d5a36fd5b9a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_d3270ef1e25604ff272b8b8697e1d2cf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/alts/zoom/alt_2218431_49b38ded1276987bb8cadf402d2c6cf2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1705/main/zoom/2218431_72e2e28af23b5ec2e7affd46987ac6af.jpeg']"
OUVERTURE,7590,Marc Mugnier,130(L)x129(A)x12(P)cm,2011 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/3857/main/zoom/1181599_99c116f587290a1cb28e8c7957f81b88.png', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_0783c51886c81cf6d666f29d60083074.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_c756bf374825a3a53cda1ca1e37c5f67.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_c57f549f804877e0164ad293bbe63fb1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_90f74f4e3efc58c9b15709b484629187.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_00f26e8d8cdf0de1931a4ac02db5a40c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_4577a5e8969e27179e5819325375ca15.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_1768ae5b3e7171623ad5c2c428c4109f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_2703030f85311732f51d2a72d7e24f67.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_99a831933d71f3000df6093e263b2bf1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3857/alts/zoom/alt_1181599_8f7b014bc1873c5f7bd965ad8966f6a9.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/3857/main/zoom/1181599_99c116f587290a1cb28e8c7957f81b88.png']"
CRAC ! BOUM ! HUE !,5544,Jean-Louis Azencott,80 x 80 cm,2021 • Francia • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/1437/main/zoom/1260371_9ceb88c1c4d475222b02ea8fa41b0cd6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_27d13a0163e6cadef7138bb2c56698d6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_e4456ab935929037b444c6b56682d8f7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_9f86a95f341d196ecca96302d84598d5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_8feb411b4a8376ae907dc045d27dfc22.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_437a61e1f331cca47b6f7374cc10378d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_270424a3c445be8c6097f12a99ab4fbe.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_ae654e788a4cc8f684057b0c5c200e42.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_dacfab4fd1b4985c9356c169f72065b3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_6908e21e004bacd24758850c31e78d47.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/alts/zoom/alt_1260371_b4553c5a9a016832ed3d09e20df62000.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/1437/main/zoom/1260371_9ceb88c1c4d475222b02ea8fa41b0cd6.jpeg']"
Le taureau force et douceur,7616,Hector Bouchet,25(L)x24(A)x40(P)cm,2025 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/62204/main/zoom/2303914_33eae06b1472c1e35d59e43dc0d1394d.png', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_1e82da37333b7a408cabfee7bc4d4bf4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_ef386476b695615799ec21632794ee73.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_b809ada67b07fb34ce0d1ea7fae9f113.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_79bfac31752acf17f6118ead61c80f8a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_3ec0b56cb846e4a43a3fc73801a57d70.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_3703b36c14e1a05709fe8c774ee382bc.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_d82bfa4377d4b1b9113e098e86a41e37.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_5804a2dc23e1e73ddf8e05e574b5e37f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_13fbbabab46e40eb31d7a4e1df0e0bc3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_653a2e46351378a3d9f31a3cb941c48c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_5bf8e62b30c69f646a9527b795f07f62.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_c10e728ae01f715c4eef25b0c3d933ef.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_c9dd1dbe7be9988adb22f97133e48ac9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_fe9a3f1ed5578c687f56a0337d2ef2a4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_4d6bd040b549e5ad08e600a8f36c8aca.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_1b28b1893d9211882db6bd6adc991fed.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/62204/alts/zoom/alt_2303914_2a6a0ef053c38cd32c03f81773215a55.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/62204/main/zoom/2303914_33eae06b1472c1e35d59e43dc0d1394d.png']"
Un ange au Paradis,8450,Laurence Saunois,113 x 70 cm,2020 • Francia • Óleo en Metal,"['https://www.singulart.com/images/artworks/v2/cropped/6601/main/zoom/2295549_9215c15aaf7eee0ad2a0fe51a362d6cb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/alts/zoom/alt_2295549_0d07caad1473e91e7d8ab2caf4a4bc23.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/alts/zoom/alt_2295549_b2e875515a2793d46db3bc18f581fbc4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/alts/zoom/alt_2295549_86ef99f33287eec7ba43dc7ea69c9851.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/alts/zoom/alt_2295549_023a66896a86287899d818eaaa649b05.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/alts/zoom/alt_2295549_b2dcbe45ca5520b7de92a6e17d4a1182.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/alts/zoom/alt_2295549_3614bff32624ac3c280da433009df2b2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6601/main/zoom/2295549_9215c15aaf7eee0ad2a0fe51a362d6cb.jpeg']"
Rose Paris - tirage n° 1 / 1,9950,Edouard Mazaré,64 x 94 cm,"2019 • Francia • Digital en Papel , Metal under glass","['https://www.singulart.com/images/artworks/v2/cropped/60/main/zoom/892289_6f41aeffe5189f2470ad9a692329a1cd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60/alts/zoom/alt_892289_6656670cf64d41c3da1d8076488ebe30.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60/alts/zoom/alt_892289_a14c0a78d593cc8f07e611f48bc31577.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60/alts/zoom/alt_892289_ec77b7f38a8e7ee5ef19f0a0578a846f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60/alts/zoom/alt_892289_b4f7f5cfdcaddae030f4b471abb13d63.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/60/main/zoom/892289_6f41aeffe5189f2470ad9a692329a1cd.jpeg']"
Buisson ardent Mougins,6272,David Onen,40(L)x50(A)x40(P)cm,2020 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/3813/main/zoom/812339_9c28f84b5428f0a298fac8832d249c44.png', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_3d5566f3a0841ed7c672d5b44556ecb1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_23e6811c95c7d58bcae9c7eeab8606d0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_abd5a676437c8c1761e20d079f5ee4b2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_cbb0f872246af73d81a1943f76fc2728.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_db6f092403c9fba234db65b371d342b3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_0486198db0fd6e8066b2f87202cafe44.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_28587fc623b81968d1f604920aec2a9b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_26e327358cc3f81f47c5ff00c814abcf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_ee9df5255d46c8297486264f7b240692.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_66d556d0cbf4a08276fa58a45c2f4a22.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_de2111f14b2ecd4893ea9adc01af2d92.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_ba0d298b6fc153d38d77dd6b75463a04.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/3813/alts/zoom/alt_812339_80933d678e7d3963bd62d68732556668.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/3813/main/zoom/812339_9c28f84b5428f0a298fac8832d249c44.png']"
Em Ritmo da Alegria,5873,Christine Drummond,100 x 60 cm,2024 • Francia • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/16713/main/zoom/2203149_d21076d7cacbe45bf4bb19db343fc5f7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/alts/zoom/alt_2203149_f8cc9093809af0fbc7e77c4a79689ff5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/alts/zoom/alt_2203149_ed4e8a0e7317f3e2cf6d268f9a23c277.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/alts/zoom/alt_2203149_e98a323a6c25effc936484a4005bca22.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/alts/zoom/alt_2203149_49f921ad2ca77c15cc76e19ec0ebee6d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/alts/zoom/alt_2203149_9c9dbe71ae3d303d1d63cc79625c28ea.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/alts/zoom/alt_2203149_fc65fb352b7bf307141acc1a04f88a21.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/16713/main/zoom/2203149_d21076d7cacbe45bf4bb19db343fc5f7.jpeg']"
Sans titre - Référence 2009 09 07 - Huile sur toile 73x100cm,6055,Jean Soyer,73 x 100 cm,2009 • Francia • Óleo en Lino,"['https://www.singulart.com/images/artworks/v2/cropped/22731/main/zoom/1481631_08580f50d845af87e3f02f2578c55e4a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_b6abe3abc1a1fe6844fbbb31434edb83.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_afa9da131eb07b4cbbff12d7b01242fa.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_387a64565d63c4796f84282917f2cbe7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_ae67c89e4efda597dc256d81ac76088d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_986b46dc3ca77a22687f180f2170ed4c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_84205fc41c61b367397259b47e526be3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_afa9da131eb07b4cbbff12d7b01242fa.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_07338b89922151dfce30362bd259efcf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_387a64565d63c4796f84282917f2cbe7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_079ea0e6c4604c65de95f6b708a06fa1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_24f77c796cb06cd6dec9b4af42ff91eb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_29206acf9766c5f562189c8af82b6925.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_ae67c89e4efda597dc256d81ac76088d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/alts/zoom/alt_1481631_0d703ddea56aee9eadb71877b92c6c7a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22731/main/zoom/1481631_08580f50d845af87e3f02f2578c55e4a.jpeg']"
Binary Culture,6335,Martta García Ramo,180 x 120 cm,2023 • España • Óleo en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/6623/main/zoom/1867129_5f9656ccbea34718fba44588fbbf6591.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/6623/main/zoom/1867129_5f9656ccbea34718fba44588fbbf6591.jpeg']"
Geometry,5614,Marc Janus,150 x 150 cm,2019 • España • Óleo en Lino,"['https://www.singulart.com/images/artworks/v2/cropped/10137/main/zoom/322827_1b419e941f50586d51f40a63727de9f0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10137/alts/zoom/alt_322827_cc6dee660807aad18300e026fff322f3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10137/alts/zoom/alt_322827_35f1e7df38d6139a005fbfabb756e861.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10137/main/zoom/322827_1b419e941f50586d51f40a63727de9f0.jpeg']"
Destinados a Navegar Eternamente II,6132,José Antonio Ochoa,167 x 330 cm,2018 • España • Óleo en Tablero sintético,"['https://www.singulart.com/images/artworks/v2/cropped/32259/main/zoom/1645696_9f7a5fa69baf6a85d9876a223beccec0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/alts/zoom/alt_1645696_faf3d35a980bb45ec2e9892fa2b2275e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/alts/zoom/alt_1645696_f8c045f3f0059b6bfcaef9cb29901a5d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/alts/zoom/alt_1645696_a012c2d17907323fc431ffdbbcca9827.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/alts/zoom/alt_1645696_3527f498bb9bc2d4ba4a4c95b46764fb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/alts/zoom/alt_1645696_c49548ebaa4e4504c0fc0a40cecc47f0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/alts/zoom/alt_1645696_f71241d0932a269752559148ef2112dd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/32259/main/zoom/1645696_9f7a5fa69baf6a85d9876a223beccec0.jpeg']"
Eudaimonía,5621,Javier Santana,130 x 180 cm,"2024 • España • Acrílico, Óleo en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/21391/main/zoom/2050110_862bb7c66cb6aeede18cab0bf1568b60.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_ef54797603e86d1529f43f4f077bcefe.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_4d91ade77fd1879ed34c325175e84139.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_4f90feeebca97390ce72ac6e4a6f70e7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_02c822e8a1f030b3181b7d3d74a94052.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_2c2f9fb4c34ca9bf4b54b78fb19caedb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_50e2ce9a207ca4f63f10796fb31cc837.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/alts/zoom/alt_2050110_1689e406d3838d1a718a407b511ee77e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/21391/main/zoom/2050110_862bb7c66cb6aeede18cab0bf1568b60.jpeg']"
La délicatesse,6496,Phils,55(L)x90(A)x30(P)cm,2024 • Francia,"['https://www.singulart.com/images/artworks/v2/cutout/15025/main/zoom/2170922_ba453d324b4176f8667612a114c80db8.png', 'https://www.singulart.com/images/artworks/v2/cropped/15025/alts/zoom/alt_2170922_872d78d7b32e91d3ba091752859755d6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15025/alts/zoom/alt_2170922_cf7851b7e1351c2f5ab33f18e25a53d5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15025/alts/zoom/alt_2170922_4c15193f177d3e14be43ffae9e97de13.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15025/alts/zoom/alt_2170922_053e9b6161e42a3387c3a9cbc0c4dcb9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/15025/alts/zoom/alt_2170922_c101c9f0e742ed592b53d51f5084c14f.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/15025/main/zoom/2170922_ba453d324b4176f8667612a114c80db8.png']"
Limones en un frutero de cristal,25935,Jesús Manuel Moreno,65 x 72 cm,2021 • España • Óleo en Madera,"['https://www.singulart.com/images/artworks/v2/cropped/18651/main/zoom/1447161_42881ac8a3add4884b52634fc2656480.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18651/alts/zoom/alt_1447161_1d67408e4572cabc056a1a8e3d77e8cf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18651/alts/zoom/alt_1447161_4e028ea351d900026abbdc1bef1c4c1f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18651/alts/zoom/alt_1447161_7946a3d4c29f9e027e9f48310a2ef1b6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18651/alts/zoom/alt_1447161_1a0f55a0e47d3e7bf2caf1c13f214f17.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18651/alts/zoom/alt_1447161_d72b49294f1c34f1045602857566ef45.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/18651/main/zoom/1447161_42881ac8a3add4884b52634fc2656480.jpeg']"
