Header,Price,Exterior Color,Transmission,Restoration,Model,Brand,Engine Condition,Year,Imgs
1965 Chevrolet Nova,"$85,000",blue /orange pearl,Automatic,,Nova,Chevrolet, - Running,1965,"['https://photos.classiccars.com/cc-temp/listing/187/5653/49532906-1965-chevrolet-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018137-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018099-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018138-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018143-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018145-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018146-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018114-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018173-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/48018132-1965-chevrolet-chevy-ii-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/49598752-1965-chevrolet-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/51410117-1965-chevrolet-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/51430973-1965-chevrolet-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/51639188-1965-chevrolet-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/187/5653/51639191-1965-chevrolet-nova-thumb.jpg']"
1978 Toyota Land Cruiser FJ40,"$57,500 (OBO)",GREY,Manual,,Land Cruiser FJ40,Toyota, - ,1978,"['https://photos.classiccars.com/cc-temp/listing/193/4610/51552789-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552901-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552802-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552778-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552781-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552798-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552797-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552842-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552788-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552787-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552786-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552792-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552794-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552800-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552808-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552811-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552825-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552828-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552832-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552835-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552836-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552837-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552838-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552843-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552844-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552846-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552848-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552849-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552850-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552852-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552858-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552859-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552860-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552857-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552866-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552870-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552855-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552862-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552864-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552869-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552873-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552874-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552875-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552826-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552899-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552902-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552903-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552906-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552928-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552929-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552930-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552941-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552954-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552920-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552921-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552944-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552933-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552935-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552936-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552948-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552918-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552919-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552924-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552925-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552927-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552990-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552991-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552992-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552993-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552994-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552814-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552815-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552810-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552812-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552817-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552816-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552820-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552822-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552821-1978-toyota-land-cruiser-fj40-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/4610/51552823-1978-toyota-land-cruiser-fj40-thumb.jpg']"
2015 Chevrolet Camaro Z28,"$72,500 (OBO)",White,Manual,Unrestored,Camaro Z28,Chevrolet,Rebuilt - Running,2015,"['https://photos.classiccars.com/cc-temp/listing/186/8283/47576116-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576127-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576128-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576129-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576130-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576131-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576132-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576133-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576134-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576135-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576136-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576137-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576138-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576139-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576140-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576141-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576159-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576161-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576162-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576163-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576164-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576165-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576166-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47576167-2015-chevrolet-camaro-z28-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/186/8283/47810987-2015-chevrolet-camaro-z28-thumb.jpg']"
1964 Chevrolet Chevy II Nova,"$79,000 (OBO)",Red,Automatic,Fully Restored,Chevy II Nova,Chevrolet,Replaced - Running,1964,"['https://photos.classiccars.com/cc-temp/listing/193/3236/51469347-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469315-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469346-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469343-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469311-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469312-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469313-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469309-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469310-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469307-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469308-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469317-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469344-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469316-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469345-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469340-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469341-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469339-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469314-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469334-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469335-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469337-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469338-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469342-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469328-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469333-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469336-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469329-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469330-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469331-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469332-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469320-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469321-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469322-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469323-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469324-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469325-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469326-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469318-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469319-1964-chevrolet-chevy-ii-nova-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/3236/51469327-1964-chevrolet-chevy-ii-nova-thumb.jpg']"
2001 Porsche 911 Carrera Cabriolet,"$35,500",Meridian Silver,Manual,,911 Carrera Cabriolet,Porsche,Original - Running,2001,"['https://photos.classiccars.com/cc-temp/listing/193/1564/51357319-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357305-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357303-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357314-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357306-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357307-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357322-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357312-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357334-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357311-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357331-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357325-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357316-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357342-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357315-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357328-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357337-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357339-2001-porsche-911-carrera-cabriolet-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/1564/51357310-2001-porsche-911-carrera-cabriolet-thumb.jpg']"
1993 Volkswagen Camper,"$29,900",Green/White,Manual,,Camper,Volkswagen, - ,1993,"['https://photos.classiccars.com/cc-temp/listing/190/1207/52457057-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457058-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457059-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457063-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457060-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457061-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457062-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457064-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457065-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457066-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457067-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457068-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457069-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457070-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457071-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457072-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457073-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457074-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457075-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457076-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457077-1993-volkswagen-camper-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/190/1207/52457078-1993-volkswagen-camper-thumb.jpg']"
1970 Chevrolet Corvette,"$29,800 (OBO)",Daytona yellow,Automatic,,Corvette,Chevrolet, - ,1970,"['https://photos.classiccars.com/cc-temp/listing/193/6595/51662146-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662147-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662148-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662152-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662153-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662154-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662155-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662156-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662157-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662158-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662159-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662160-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662161-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662162-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662163-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662164-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662165-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662166-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662167-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662168-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662169-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662170-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662171-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662172-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662173-1970-chevrolet-corvette-thumb.jpg', 'https://photos.classiccars.com/cc-temp/listing/193/6595/51662174-1970-chevrolet-corvette-thumb.jpg']"
